Sample	Total	Concensous	File
CHM13	4682	712	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/canu/CHM13.canu.fasta
CHM13	5446	217	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/flye/CHM13.flye.prepolished.fasta
CHM13	4190	404	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/wtdbg2/CHM13.wtdbg2.fasta
CHM13	1033	242	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/shasta/CHM13.shasta.fasta
HG002	3779	328	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/canu/HG002.canu.fasta
HG002	5823	178	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/flye/HG00733.flye.prepolished.fasta
HG002	3509	215	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/wtdbg2/HG002.wtdbg2.fasta
HG002	863	179	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/shasta/HG002.shasta.fasta
HG0733	4524	383	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/canu/HG00733.canu.fasta
HG0733	6546	178	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/flye/HG002.flye.prepolished.fasta
HG0733	3975	205	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/wtdbg2/HG00733.wtdbg2.fasta
HG0733	792	161	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/raw/shasta/HG00733.shasta.fasta
Polished_CHM13	8469	594	https://eichlerlab.gs.washington.edu/help/mvollger/papers/chm13_hifi/HiFi.racon2_v2.chm13.fasta
Polished_CHM13	1073	380	https://s3-us-west-2.amazonaws.com/human-pangenomics/assemblies/polished/marginpolish_helen/shasta/CHM13_shasta_marginpolish_helen_consensus.fa
